Cannot initialize model with low cpu memory usage because `accelerate` was not found in the environment. Defaulting to `low_cpu_mem_usage=False`. It is strongly recommended to install `accelerate` for faster and less memory-intense model loading. You can do so with: 
```
pip install accelerate
```
.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading cached analyzer from ./results/sweep_in100/cluster_cache.pkl...
  Loaded. Mode counts: [2, 3, 4, 5]
  Saving to ./results/sweep_in100/factor_ablation_v2_full_cags
  Class n02869837 (label=452): guidance=0.0307, stop_t=24, modes=2, complexity=0.5117
  Class n01749939 (label=64): guidance=0.0291, stop_t=24, modes=2, complexity=0.4848
  Class n02488291 (label=374): guidance=0.0281, stop_t=24, modes=2, complexity=0.4685
  Class n02107142 (label=236): guidance=0.0302, stop_t=24, modes=2, complexity=0.5035
  Class n13037406 (label=993): guidance=0.0268, stop_t=24, modes=2, complexity=0.4460
  Class n02091831 (label=176): guidance=0.0287, stop_t=24, modes=2, complexity=0.4775
  Class n04517823 (label=882): guidance=0.0263, stop_t=24, modes=2, complexity=0.4383
  Class n04589890 (label=904): guidance=0.0282, stop_t=24, modes=2, complexity=0.4696
  Class n03062245 (label=503): guidance=0.0326, stop_t=24, modes=2, complexity=0.5428
  Class n01773797 (label=74): guidance=0.0272, stop_t=24, modes=2, complexity=0.4533
  Class n01735189 (label=57): guidance=0.0259, stop_t=24, modes=2, complexity=0.4317
  Class n07831146 (label=959): guidance=0.0263, stop_t=24, modes=2, complexity=0.4389
  Class n07753275 (label=953): guidance=0.0294, stop_t=24, modes=2, complexity=0.4906
  Class n03085013 (label=508): guidance=0.0314, stop_t=24, modes=2, complexity=0.5235
  Class n04485082 (label=872): guidance=0.0305, stop_t=24, modes=2, complexity=0.5084
  Class n02105505 (label=228): guidance=0.0288, stop_t=24, modes=2, complexity=0.4794
  Class n01983481 (label=122): guidance=0.0304, stop_t=24, modes=2, complexity=0.5074
  Class n02788148 (label=421): guidance=0.0288, stop_t=24, modes=2, complexity=0.4799
  Class n03530642 (label=599): guidance=0.0289, stop_t=24, modes=2, complexity=0.4809
  Class n04435653 (label=858): guidance=0.0259, stop_t=24, modes=2, complexity=0.4322
  Class n02086910 (label=157): guidance=0.0297, stop_t=24, modes=2, complexity=0.4944
  Class n02859443 (label=449): guidance=0.0285, stop_t=24, modes=2, complexity=0.4757
  Class n13040303 (label=994): guidance=0.0271, stop_t=24, modes=2, complexity=0.4517
  Class n03594734 (label=608): guidance=0.0312, stop_t=24, modes=2, complexity=0.5203
  Class n02085620 (label=151): guidance=0.0304, stop_t=24, modes=2, complexity=0.5063
  Class n02099849 (label=209): guidance=0.0275, stop_t=24, modes=2, complexity=0.4589
  Class n01558993 (label=15): guidance=0.0277, stop_t=24, modes=4, complexity=0.4615
  Class n04493381 (label=876): guidance=0.0293, stop_t=24, modes=2, complexity=0.4884
  Class n02109047 (label=246): guidance=0.0297, stop_t=24, modes=2, complexity=0.4948
  Class n04111531 (label=766): guidance=0.0302, stop_t=24, modes=2, complexity=0.5039
  Class n02877765 (label=455): guidance=0.0302, stop_t=24, modes=2, complexity=0.5037
  Class n04429376 (label=857): guidance=0.0300, stop_t=24, modes=2, complexity=0.4992
  Class n02009229 (label=131): guidance=0.0253, stop_t=24, modes=2, complexity=0.4224
  Class n01978455 (label=119): guidance=0.0281, stop_t=24, modes=2, complexity=0.4677
  Class n02106550 (label=234): guidance=0.0303, stop_t=24, modes=2, complexity=0.5046
  Class n01820546 (label=90): guidance=0.0304, stop_t=24, modes=2, complexity=0.5075
  Class n01692333 (label=45): guidance=0.0261, stop_t=24, modes=2, complexity=0.4358
  Class n07714571 (label=936): guidance=0.0254, stop_t=24, modes=2, complexity=0.4234
  Class n02974003 (label=479): guidance=0.0310, stop_t=24, modes=2, complexity=0.5161
  Class n02114855 (label=272): guidance=0.0263, stop_t=24, modes=2, complexity=0.4386
  Class n03785016 (label=665): guidance=0.0282, stop_t=24, modes=3, complexity=0.4702
  Class n03764736 (label=653): guidance=0.0279, stop_t=24, modes=2, complexity=0.4648
  Class n03775546 (label=659): guidance=0.0302, stop_t=24, modes=2, complexity=0.5031
  Class n02087046 (label=158): guidance=0.0302, stop_t=24, modes=2, complexity=0.5031
  Class n07836838 (label=960): guidance=0.0318, stop_t=24, modes=2, complexity=0.5308
  Class n04099969 (label=765): guidance=0.0275, stop_t=24, modes=2, complexity=0.4580
  Class n04592741 (label=908): guidance=0.0299, stop_t=24, modes=3, complexity=0.4979
  Class n03891251 (label=703): guidance=0.0289, stop_t=24, modes=2, complexity=0.4819
  Class n02701002 (label=407): guidance=0.0294, stop_t=24, modes=2, complexity=0.4905
  Class n03379051 (label=560): guidance=0.0317, stop_t=24, modes=2, complexity=0.5275
  Class n02259212 (label=317): guidance=0.0284, stop_t=24, modes=4, complexity=0.4738
  Class n07715103 (label=938): guidance=0.0296, stop_t=24, modes=2, complexity=0.4935
  Class n03947888 (label=724): guidance=0.0269, stop_t=24, modes=2, complexity=0.4491
  Class n04026417 (label=748): guidance=0.0292, stop_t=24, modes=2, complexity=0.4869
  Class n02326432 (label=331): guidance=0.0266, stop_t=24, modes=3, complexity=0.4426
  Class n03637318 (label=619): guidance=0.0332, stop_t=24, modes=2, complexity=0.5533
  Class n01980166 (label=120): guidance=0.0260, stop_t=24, modes=2, complexity=0.4328
  Class n02113799 (label=267): guidance=0.0305, stop_t=24, modes=2, complexity=0.5084
  Class n02086240 (label=155): guidance=0.0285, stop_t=24, modes=2, complexity=0.4749
  Class n03903868 (label=708): guidance=0.0301, stop_t=24, modes=2, complexity=0.5018
  Class n02483362 (label=368): guidance=0.0291, stop_t=24, modes=2, complexity=0.4845
  Class n04127249 (label=772): guidance=0.0316, stop_t=24, modes=2, complexity=0.5260
  Class n02089973 (label=167): guidance=0.0291, stop_t=24, modes=2, complexity=0.4853
  Class n03017168 (label=494): guidance=0.0303, stop_t=24, modes=2, complexity=0.5056
  Class n02093428 (label=180): guidance=0.0290, stop_t=24, modes=2, complexity=0.4834
  Class n02804414 (label=431): guidance=0.0249, stop_t=24, modes=2, complexity=0.4155
  Class n02396427 (label=342): guidance=0.0268, stop_t=24, modes=2, complexity=0.4464
  Class n04418357 (label=854): guidance=0.0301, stop_t=24, modes=2, complexity=0.5019
  Class n02172182 (label=305): guidance=0.0257, stop_t=24, modes=2, complexity=0.4284
  Class n01729322 (label=54): guidance=0.0258, stop_t=24, modes=2, complexity=0.4305
  Class n02113978 (label=268): guidance=0.0310, stop_t=24, modes=5, complexity=0.5164
  Class n03787032 (label=667): guidance=0.0327, stop_t=24, modes=2, complexity=0.5443
  Class n02089867 (label=166): guidance=0.0298, stop_t=24, modes=2, complexity=0.4964
  Class n02119022 (label=277): guidance=0.0275, stop_t=24, modes=2, complexity=0.4586
  Class n03777754 (label=662): guidance=0.0331, stop_t=24, modes=2, complexity=0.5510
  Class n04238763 (label=798): guidance=0.0302, stop_t=24, modes=2, complexity=0.5029
  Class n02231487 (label=313): guidance=0.0289, stop_t=24, modes=2, complexity=0.4808
  Class n03032252 (label=498): guidance=0.0300, stop_t=24, modes=2, complexity=0.4996
  Class n02138441 (label=299): guidance=0.0270, stop_t=24, modes=2, complexity=0.4504
  Class n02104029 (label=222): guidance=0.0289, stop_t=24, modes=2, complexity=0.4813
  Class n03837869 (label=682): guidance=0.0290, stop_t=24, modes=2, complexity=0.4836
  Class n03494278 (label=593): guidance=0.0341, stop_t=24, modes=2, complexity=0.5690
  Class n04136333 (label=775): guidance=0.0315, stop_t=24, modes=2, complexity=0.5257
  Class n03794056 (label=674): guidance=0.0307, stop_t=24, modes=2, complexity=0.5123
  Class n03492542 (label=592): guidance=0.0304, stop_t=24, modes=2, complexity=0.5061
  Class n02018207 (label=137): guidance=0.0254, stop_t=24, modes=2, complexity=0.4241
  Class n04067472 (label=758): guidance=0.0301, stop_t=24, modes=2, complexity=0.5019
  Class n03930630 (label=717): guidance=0.0299, stop_t=24, modes=2, complexity=0.4975
  Class n03584829 (label=606): guidance=0.0322, stop_t=24, modes=2, complexity=0.5362
  Class n02123045 (label=281): guidance=0.0292, stop_t=24, modes=2, complexity=0.4872
  Class n04229816 (label=796): guidance=0.0339, stop_t=24, modes=2, complexity=0.5648
  Class n02100583 (label=211): guidance=0.0273, stop_t=24, modes=2, complexity=0.4548
  Class n03642806 (label=620): guidance=0.0322, stop_t=24, modes=2, complexity=0.5359
  Class n04336792 (label=830): guidance=0.0273, stop_t=24, modes=2, complexity=0.4555
  Class n03259280 (label=544): guidance=0.0303, stop_t=24, modes=2, complexity=0.5051
  Class n02116738 (label=275): guidance=0.0264, stop_t=24, modes=2, complexity=0.4398
  Class n02108089 (label=242): guidance=0.0293, stop_t=24, modes=2, complexity=0.4876
  Class n03424325 (label=570): guidance=0.0339, stop_t=24, modes=2, complexity=0.5658
  Class n01855672 (label=99): guidance=0.0269, stop_t=24, modes=2, complexity=0.4475
  Class n02090622 (label=169): guidance=0.0291, stop_t=24, modes=2, complexity=0.4858

Generating class: n02869837 (label=452)
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [00:01<00:14,  1.62s/it] 20%|██        | 2/10 [00:02<00:09,  1.23s/it] 30%|███       | 3/10 [00:03<00:07,  1.10s/it] 40%|████      | 4/10 [00:04<00:06,  1.04s/it] 50%|█████     | 5/10 [00:05<00:05,  1.02s/it] 60%|██████    | 6/10 [00:06<00:03,  1.00it/s] 70%|███████   | 7/10 [00:07<00:02,  1.01it/s] 80%|████████  | 8/10 [00:08<00:01,  1.02it/s] 90%|█████████ | 9/10 [00:09<00:00,  1.03it/s]100%|██████████| 10/10 [00:10<00:00,  1.04it/s]100%|██████████| 10/10 [00:10<00:00,  1.02s/it]
  Time: 10.3s

Generating class: n01749939 (label=64)
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [00:00<00:08,  1.04it/s] 20%|██        | 2/10 [00:01<00:07,  1.05it/s] 30%|███       | 3/10 [00:02<00:06,  1.04it/s] 40%|████      | 4/10 [00:03<00:05,  1.04it/s] 50%|█████     | 5/10 [00:04<00:04,  1.04it/s] 60%|██████    | 6/10 [00:05<00:03,  1.04it/s] 70%|███████   | 7/10 [00:06<00:02,  1.05it/s] 80%|████████  | 8/10 [00:07<00:01,  1.04it/s] 90%|█████████ | 9/10 [00:08<00:00,  1.04it/s]100%|██████████| 10/10 [00:09<00:00,  1.04it/s]100%|██████████| 10/10 [00:09<00:00,  1.04it/s]
  Time: 9.6s

Generating class: n02488291 (label=374)
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [00:00<00:08,  1.04it/s] 20%|██        | 2/10 [00:01<00:07,  1.04it/s] 30%|███       | 3/10 [00:02<00:06,  1.04it/s] 40%|████      | 4/10 [00:03<00:05,  1.04it/s] 50%|█████     | 5/10 [00:04<00:04,  1.04it/s] 60%|██████    | 6/10 [00:05<00:03,  1.04it/s] 70%|███████   | 7/10 [00:06<00:02,  1.04it/s] 80%|████████  | 8/10 [00:07<00:01,  1.04it/s] 90%|█████████ | 9/10 [00:08<00:00,  1.04it/s]100%|██████████| 10/10 [00:09<00:00,  1.04it/s]100%|██████████| 10/10 [00:09<00:00,  1.04it/s]
  Time: 9.6s

Generating class: n02107142 (label=236)
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [00:00<00:08,  1.04it/s] 20%|██        | 2/10 [00:01<00:07,  1.05it/s] 30%|███       | 3/10 [00:02<00:06,  1.05it/s] 40%|████      | 4/10 [00:03<00:05,  1.05it/s] 50%|█████     | 5/10 [00:04<00:04,  1.04it/s] 60%|██████    | 6/10 [00:05<00:03,  1.05it/s] 70%|███████   | 7/10 [00:06<00:02,  1.04it/s] 80%|████████  | 8/10 [00:07<00:01,  1.04it/s] 90%|█████████ | 9/10 [00:08<00:00,  1.04it/s]100%|██████████| 10/10 [00:09<00:00,  1.04it/s]100%|██████████| 10/10 [00:09<00:00,  1.04it/s]
  Time: 9.6s

Generating class: n13037406 (label=993)
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [00:00<00:08,  1.05it/s] 20%|██        | 2/10 [00:01<00:07,  1.03it/s] 30%|███       | 3/10 [00:02<00:06,  1.04it/s] 40%|████      | 4/10 [00:03<00:05,  1.05it/s] 50%|█████     | 5/10 [00:04<00:04,  1.05it/s] 60%|██████    | 6/10 [00:05<00:03,  1.05it/s] 70%|███████   | 7/10 [00:06<00:02,  1.05it/s] 80%|████████  | 8/10 [00:07<00:01,  1.04it/s] 90%|█████████ | 9/10 [00:08<00:00,  1.03it/s]100%|██████████| 10/10 [00:09<00:00,  1.04it/s]100%|██████████| 10/10 [00:09<00:00,  1.04it/s]
  Time: 9.6s

Generating class: n02091831 (label=176)
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [00:00<00:08,  1.05it/s] 20%|██        | 2/10 [00:01<00:07,  1.05it/s] 30%|███       | 3/10 [00:02<00:06,  1.05it/s] 40%|████      | 4/10 [00:03<00:05,  1.04it/s] 50%|█████     | 5/10 [00:04<00:04,  1.04it/s] 60%|██████    | 6/10 [00:05<00:03,  1.05it/s] 70%|███████   | 7/10 [00:06<00:02,  1.05it/s] 80%|████████  | 8/10 [00:07<00:01,  1.05it/s] 90%|█████████ | 9/10 [00:08<00:00,  1.03it/s]100%|██████████| 10/10 [00:09<00:00,  1.03it/s]100%|██████████| 10/10 [00:09<00:00,  1.04it/s]
  Time: 9.6s

Generating class: n04517823 (label=882)
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [00:00<00:08,  1.04it/s] 20%|██        | 2/10 [00:01<00:07,  1.05it/s] 30%|███       | 3/10 [00:02<00:06,  1.05it/s] 40%|████      | 4/10 [00:03<00:05,  1.05it/s] 50%|█████     | 5/10 [00:04<00:04,  1.05it/s] 60%|██████    | 6/10 [00:05<00:03,  1.05it/s] 70%|███████   | 7/10 [00:06<00:02,  1.05it/s] 80%|████████  | 8/10 [00:07<00:01,  1.05it/s] 90%|█████████ | 9/10 [00:08<00:00,  1.05it/s]100%|██████████| 10/10 [00:09<00:00,  1.04it/s]100%|██████████| 10/10 [00:09<00:00,  1.05it/s]
  Time: 9.5s

Generating class: n04589890 (label=904)
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [00:00<00:08,  1.04it/s] 20%|██        | 2/10 [00:01<00:07,  1.05it/s] 30%|███       | 3/10 [00:02<00:06,  1.05it/s] 40%|████      | 4/10 [00:03<00:05,  1.05it/s] 50%|█████     | 5/10 [00:04<00:04,  1.05it/s] 60%|██████    | 6/10 [00:05<00:03,  1.05it/s] 70%|███████   | 7/10 [00:06<00:02,  1.05it/s] 80%|████████  | 8/10 [00:07<00:01,  1.05it/s] 90%|█████████ | 9/10 [00:08<00:00,  1.06it/s]100%|██████████| 10/10 [00:09<00:00,  1.06it/s]100%|██████████| 10/10 [00:09<00:00,  1.05it/s]
  Time: 9.5s

Generating class: n03062245 (label=503)
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [00:00<00:08,  1.06it/s] 20%|██        | 2/10 [00:01<00:07,  1.06it/s] 30%|███       | 3/10 [00:02<00:06,  1.06it/s] 40%|████      | 4/10 [00:03<00:05,  1.06it/s] 50%|█████     | 5/10 [00:04<00:04,  1.06it/s] 60%|██████    | 6/10 [00:05<00:03,  1.06it/s] 70%|███████   | 7/10 [00:06<00:02,  1.07it/s] 80%|████████  | 8/10 [00:07<00:01,  1.07it/s] 90%|█████████ | 9/10 [00:08<00:00,  1.06it/s]100%|██████████| 10/10 [00:09<00:00,  1.06it/s]100%|██████████| 10/10 [00:09<00:00,  1.06it/s]
  Time: 9.4s

Generating class: n01773797 (label=74)
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [00:00<00:08,  1.05it/s] 20%|██        | 2/10 [00:01<00:07,  1.05it/s] 30%|███       | 3/10 [00:02<00:06,  1.05it/s] 40%|████      | 4/10 [00:03<00:05,  1.05it/s] 50%|█████     | 5/10 [00:04<00:04,  1.05it/s] 60%|██████    | 6/10 [00:05<00:03,  1.05it/s] 70%|███████   | 7/10 [00:06<00:02,  1.06it/s] 80%|████████  | 8/10 [00:07<00:01,  1.06it/s] 90%|█████████ | 9/10 [00:08<00:00,  1.06it/s]100%|██████████| 10/10 [00:09<00:00,  1.06it/s]100%|██████████| 10/10 [00:09<00:00,  1.06it/s]
  Time: 9.5s

Generating class: n01735189 (label=57)
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [00:00<00:08,  1.08it/s] 20%|██        | 2/10 [00:01<00:07,  1.07it/s] 30%|███       | 3/10 [00:02<00:06,  1.07it/s] 40%|████      | 4/10 [00:03<00:05,  1.07it/s] 50%|█████     | 5/10 [00:04<00:04,  1.07it/s] 60%|██████    | 6/10 [00:05<00:03,  1.07it/s] 70%|███████   | 7/10 [00:06<00:02,  1.07it/s] 80%|████████  | 8/10 [00:07<00:01,  1.07it/s] 90%|█████████ | 9/10 [00:08<00:00,  1.07it/s]100%|██████████| 10/10 [00:09<00:00,  1.07it/s]100%|██████████| 10/10 [00:09<00:00,  1.07it/s]
  Time: 9.3s

Generating class: n07831146 (label=959)
  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [00:00<00:08,  1.07it/s] 20%|██        | 2/10 [00:01<00:07,  1.07it/s] 30%|███       | 3/10 [00:02<00:06,  1.06it/s] 40%|████      | 4/10 [00:03<00:05,  1.06it/s] 50%|█████     | 5/10 [00:04<00:04,  1.06it/s] 60%|██████    | 6/10 [00:05<00:03,  1.07it/s] 70%|███████   | 7/10 [00:06<00:02,  1.07it/s] 80%|████████  | 8/10 [00:07<00:01,  1.07it/s] 90%|█████████ | 9/10 [00:08<00:00,  1.07it/s]100%|██████████| 10/10 [00:09<00:00,  1.07it/s]100%|██████████| 10/10 [00:09<00:00,  1.07it/s]
  Time: 9.4s

Generating class: n07753275 (label=953)
